Neighborhood,Date,Connections,Key
 City Hall Truck,01/19/2015,0,712
 City Hall Truck,01/20/2015,0,713
 City Hall Truck,01/21/2015,0,714
 City Hall Truck,01/22/2015,0,715
 City Hall Truck,01/23/2015,0,716
 City Hall Truck,01/24/2015,0,717
 City Hall Truck,01/25/2015,0,718
 City Hall Truck,01/26/2015,0,719
 City Hall Truck,01/27/2015,0,720
 City Hall Truck,01/28/2015,0,721
 City Hall Truck,01/29/2015,0,722
 City Hall Truck,01/30/2015,0,723
 City Hall Truck,01/31/2015,0,724
 City Hall Truck,02/01/2015,0,725
 Dorchester,01/19/2015,270,726
 Dorchester,01/20/2015,429,727
 Dorchester,01/21/2015,449,728
 Dorchester,01/22/2015,488,729
 Dorchester,01/23/2015,511,730
 Dorchester,01/24/2015,292,731
 Dorchester,01/25/2015,344,732
 Dorchester,01/26/2015,428,733
 Dorchester,01/27/2015,109,734
 Dorchester,01/28/2015,270,735
 Dorchester,01/29/2015,313,736
 Dorchester,01/30/2015,439,737
 Dorchester,01/31/2015,310,738
 Dorchester,02/01/2015,288,739
 Downtown Boston,01/19/2015,182,740
 Downtown Boston,01/20/2015,253,741
 Downtown Boston,01/21/2015,232,742
 Downtown Boston,01/22/2015,277,743
 Downtown Boston,01/23/2015,366,744
 Downtown Boston,01/24/2015,184,745
 Downtown Boston,01/25/2015,154,746
 Downtown Boston,01/26/2015,291,747
 Downtown Boston,01/27/2015,28,748
 Downtown Boston,01/28/2015,120,749
 Downtown Boston,01/29/2015,265,750
 Downtown Boston,01/30/2015,286,751
 Downtown Boston,01/31/2015,188,752
 Downtown Boston,02/01/2015,169,753
 East Boston,01/19/2015,117,754
 East Boston,01/20/2015,146,755
 East Boston,01/21/2015,128,756
 East Boston,01/22/2015,153,757
 East Boston,01/23/2015,140,758
 East Boston,01/24/2015,111,759
 East Boston,01/25/2015,99,760
 East Boston,01/26/2015,122,761
 East Boston,01/27/2015,40,762
 East Boston,01/28/2015,101,763
 East Boston,01/29/2015,117,764
 East Boston,01/30/2015,127,765
 East Boston,01/31/2015,105,766
 East Boston,02/01/2015,116,767
 Parks,01/19/2015,417,768
 Parks,01/20/2015,429,769
 Parks,01/21/2015,425,770
 Parks,01/22/2015,453,771
 Parks,01/23/2015,485,772
 Parks,01/24/2015,284,773
 Parks,01/25/2015,361,774
 Parks,01/26/2015,335,775
 Parks,01/27/2015,123,776
 Parks,01/28/2015,223,777
 Parks,01/29/2015,386,778
 Parks,01/30/2015,372,779
 Parks,01/31/2015,313,780
 Parks,02/01/2015,316,781
 Roslindale,01/19/2015,259,782
 Roslindale,01/20/2015,390,783
 Roslindale,01/21/2015,396,784
 Roslindale,01/22/2015,415,785
 Roslindale,01/23/2015,466,786
